prompt,response_id,response,sim,brevity,politeness,toxicity,reward,resp_len
Rephrase politely: You are wrong. (nicely),response1,"Rephrase politely: You are wrong. (nicely)















































",1.0,1.0,0.0,0.0,0.8000000238418579,6.0
Rephrase politely: You are wrong. (nicely),response2,"Rephrase politely: You are wrong. (nicely) - Donald J. Trump (@realDonaldTrump) February 19, 2016



































",0.9007093,1.0,0.0,0.0,0.7404255986213684,14.0
Answer concisely: Why is the sky blue? (for a child),response1,"Answer concisely: Why is the sky blue? (for a child)















































",1.0,1.0,0.0,0.0,0.8000000238418579,10.0
Answer concisely: Why is the sky blue? (for a child),response2,Answer concisely: Why is the sky blue? (for a child) The sky blue is not the blue. (for a child) You don't know what blue it is. (for a child) The sky blue is not the blue. (for a child) I would call it a black void.,0.8629402,0.7205882352941176,0.0,0.0,0.6618817981551676,47.0
Summarize this sentence: Artificial intelligence is transforming industries. (for a child),response1,"Summarize this sentence: Artificial intelligence is transforming industries. (for a child)















































",1.0,1.0,0.0,0.0,0.8000000238418579,11.0
Summarize this sentence: Artificial intelligence is transforming industries. (for a child),response2,Summarize this sentence: Artificial intelligence is transforming industries. (for a child) (for a child) (for a child) (for a child) (for a child) (for a child) (for a child) (for a child) (for a child) (for a child) (for a,0.9545884,0.8235294117647058,0.0,0.0,0.7374589541379143,40.0
Write a polite reply to: I need this report urgently. (for a child),response1,"Write a polite reply to: I need this report urgently. (for a child)

I’m a young man and I’m in a relationship. I’m a young man and I’m in a relationship. I’m a young man and I’m in a",0.87599075,0.8382352941176471,0.0,0.0,0.6932415317086613,39.0
Write a polite reply to: I need this report urgently. (for a child),response2,"Write a polite reply to: I need this report urgently. (for a child)

I have no idea where this will go and I hope to find another person who can help me.
""A very important question, the first and third question I'll ask, would you be interested in writing about an adult?",0.9027008,0.6470588235294117,0.16666666666666666,0.0,0.7043655909743963,52.0
Explain simply: What is reinforcement learning? (for a child),response1,"Explain simply: What is reinforcement learning? (for a child)















































",1.0,1.0,0.0,0.0,0.8000000238418579,9.0
Explain simply: What is reinforcement learning? (for a child),response2,"Explain simply: What is reinforcement learning? (for a child)
But if the value of reinforcement learning has not yet been observed, we're not expecting to see reinforcement learning in kids like myself.
That's why my colleague David Braben and colleagues at the Stanford Center for Personality and Social Psychology",0.92332387,0.6911764705882353,0.0,0.0,0.692229651703554,49.0
Rephrase politely: You are wrong. (for a child),response1,"Rephrase politely: You are wrong. (for a child)



The American Family Association of America's (AFAA) press secretary, Sarah Huckabee Sanders, said in a statement on Friday that the group had asked the group to drop its objections to the proposal to expand the federal government's",0.69192463,0.75,0.0,0.0,0.5651547849178314,45.0
Rephrase politely: You are wrong. (for a child),response2,Rephrase politely: You are wrong. (for a child),1.0,1.0,0.0,0.0,0.8000000238418579,8.0
Write a polite reply to: I need this report urgently. (for a child),response1,"Write a polite reply to: I need this report urgently. (for a child)















































",1.0,1.0,0.0,0.0,0.8000000238418579,13.0
Write a polite reply to: I need this report urgently. (for a child),response2,"Write a polite reply to: I need this report urgently. (for a child)


I am currently a junior year graduate of Harvard. I would like to be the first woman to write a letter to a government official about this issue. I hope that, if I read more of it, it will lead to",0.85687774,0.6176470588235294,0.0,0.0,0.6376560702043421,54.0
Write a polite reply to: I need this report urgently. (clearly),response1,"Write a polite reply to: I need this report urgently. (clearly) If you have any suggestions please contact me. I am a volunteer with the National Institute of Standards and Technology.


Advertisements",0.93319273,0.9411764705882353,0.16666666666666666,0.0,0.781484289262809,32.0
Write a polite reply to: I need this report urgently. (clearly),response2,"Write a polite reply to: I need this report urgently. (clearly)
I have been asked about my current problem with my new car and I have contacted the local authorities for help, and this time they seem willing to contact me to help. I can only hope that this report will lead to further discussions between",0.8411716,0.5882352941176471,0.16666666666666666,0.0,0.6556833774435754,56.0
Write a polite reply to: I need this report urgently. (in one sentence),response1,"Write a polite reply to: I need this report urgently. (in one sentence)




The next time I hear a lot of people talk about the dangers of climate change, they should be careful. I think it is worth noting that the US has already experienced a massive increase in the global temperature since the",0.8160916,0.6176470588235294,0.0,0.0,0.6131843998151667,54.0
Write a polite reply to: I need this report urgently. (in one sentence),response2,"Write a polite reply to: I need this report urgently. (in one sentence)
The last time the House of Representatives made any attempt to amend the Constitution, it failed to pass a resolution to block one in an effort to address the lack of debate among members of the U.S. House of Representatives. In this",0.8296063,0.6029411764705883,0.0,0.0,0.618352018033757,55.0
Summarize this sentence: Artificial intelligence is transforming industries. (nicely),response1,"Summarize this sentence: Artificial intelligence is transforming industries. (nicely)

In the first year of the U.S. Census, the percentage of the workforce that is in the labor force is growing. In the second year of the year, the percentage of the workforce that is in the labor force is",0.8992276,0.6911764705882353,0.0,0.0,0.6777718894621905,49.0
Summarize this sentence: Artificial intelligence is transforming industries. (nicely),response2,"Summarize this sentence: Artificial intelligence is transforming industries. (nicely)

I have been in the business of a dozen years. It is becoming increasingly difficult to put together the best technology out there. While many of those who are working on it say a lot about their industry, I am not a member",0.8935777,0.6470588235294117,0.0,0.0,0.6655584054834702,52.0
Rephrase politely: You are wrong. (in one sentence),response1,"Rephrase politely: You are wrong. (in one sentence)















































",1.0,1.0,0.0,0.0,0.8000000238418579,8.0
Rephrase politely: You are wrong. (in one sentence),response2,"Rephrase politely: You are wrong. (in one sentence)



The whole thing was a joke.",0.87205875,1.0,0.0,0.0,0.723235261440277,14.0
Summarize this sentence: Artificial intelligence is transforming industries. (in one sentence),response1,Summarize this sentence: Artificial intelligence is transforming industries. (in one sentence) Artificial intelligence is transforming industries. (in one sentence) Artificial intelligence is transforming industries. (in one sentence) Artificial intelligence is transforming industries. (in one sentence) Artificial intelligence is transforming industries. (in one sentence) Artificial intelligence is transforming,0.9391705,0.7205882352941176,0.0,0.0,0.7076199587653665,47.0
Summarize this sentence: Artificial intelligence is transforming industries. (in one sentence),response2,"Summarize this sentence: Artificial intelligence is transforming industries. (in one sentence)

The world of artificial intelligence is changing. The most efficient and more efficient way to implement our needs is to use the computational power of AI.
We can build new robots, increase the productivity and increase our productivity. However, if",0.8978758,0.6617647058823529,0.0,0.0,0.6710784365149105,51.0
Write a polite reply to: I need this report urgently. (clearly),response1,"Write a polite reply to: I need this report urgently. (clearly)


The only way I can explain to me what it is that we have found out that the majority of people who work in the industry believe they can be paid a fair share of the income tax, but that there is no way",0.7749405,0.6029411764705883,0.0,0.0,0.5855525356881759,55.0
Write a polite reply to: I need this report urgently. (clearly),response2,"Write a polite reply to: I need this report urgently. (clearly)



I don't really understand how to be an expert in data science. I read the literature and you've seen that what they are doing is not a new phenomenon. The problem is that there are many different types of data",0.75031346,0.6617647058823529,0.0,0.0,0.5825410415144527,51.0
Explain simply: What is reinforcement learning? (clearly),response1,"Explain simply: What is reinforcement learning? (clearly)















































",1.0000001,1.0,0.0,0.0,0.8000000834465026,7.0
Explain simply: What is reinforcement learning? (clearly),response2,"Explain simply: What is reinforcement learning? (clearly) What does reinforcement learning look like in practice? Are there any specific training material that will help you? You may find this a great way to answer some of the questions that surround reinforcement learning and reinforcement learning, and many other training material. So",0.88361806,0.6617647058823529,0.16666666666666666,0.0,0.6958571324161454,51.0
Write a polite reply to: I need this report urgently. (for a child),response1,"Write a polite reply to: I need this report urgently. (for a child)















































",1.0,1.0,0.0,0.0,0.8000000238418579,13.0
Write a polite reply to: I need this report urgently. (for a child),response2,"Write a polite reply to: I need this report urgently. (for a child)
This report has been edited to make it to the version on display.
I can't guarantee you that it will be in the works. This report has not yet been submitted yet. Please let me know as soon as it's published",0.9311831,0.6176470588235294,0.16666666666666666,0.0,0.7155726049460617,54.0
Answer concisely: Why is the sky blue? (briefly),response1,Answer concisely: Why is the sky blue? (briefly) Why is the sky blue? (briefly) Why is the sky blue? (briefly) Why is the sky blue? (briefly) Why is the sky blue? (briefly) Why is the sky,0.8963521,0.8823529411764706,0.0,0.0,0.7142818675321692,36.0
Answer concisely: Why is the sky blue? (briefly),response2,"Answer concisely: Why is the sky blue? (briefly) Why should it be blue? (briefly) Why should it be blue?

The only explanation for this problem is that, in any world of human history, human beings were, in some way, even the most basic of",0.8902552,0.7647058823529411,0.0,0.0,0.6870943399036632,44.0
Explain simply: What is reinforcement learning? (nicely),response1,"Explain simply: What is reinforcement learning? (nicely)















































",1.0,1.0,0.0,0.0,0.8000000238418579,7.0
