model,topic_id,n_docs,top_terms,example_doc_idx,example_snippet
LDA,5,872,"god, people, does, believe, say, think, did, know, jesus, right",5012,mary time appeared girl named bernadette lourdes referred immaculate conception year old way knowing doctrine apparition deemed true sealed case doctrine bernadette 14 years old vi ...
LDA,19,783,"think, good, time, people, really, does, know, did, way, point",1116,good stuff drs idiocy ok hate posting better dr idiot story 18th hour labor pushing hours exhausted ob decided csec ob called anesthisiologist sp asked help prep surgery watching c ...
LDA,14,557,"car, good, engine, know, new, bike, time, did, right, think",148,hi need help problem 1989 mitsubishi galant gs transmission car speed manual tranmission car bought new shifting 2nd 3rd unless slowly carefully makes popping hitting sound dealer  ...
LDA,11,488,"people, know, does, time, read, did, books, book, make, good",724,david study looks good gordon rubenfeld did medline search sent reference mail commercial yogurt does good lactobacillus bulgaricus culture negative finding informative reason lact ...
LDA,10,471,"image, software, windows, graphics, files, file, program, code, bit, mac",1127,hi writing program convert dxf files database format 3d graphics program written program stores points polygon ccw order 3d concepts little points stored order drawn does dxf forma ...
LDA,13,386,"card, does, know, monitor, nan, driver, problem, modem, help, bios",248,ran months ago gw2000 486dx 66v megs ram 1meg ati gup vlb problem ati graphics ultra pro card consumes com4 port reason com1 available believe documented manuals recall
LDA,2,352,"window, windows, file, problem, dos, mouse, run, does, work, running",210,fix following problem client software sunos x11r5 server hardware sun ipc server software sunos open windows patch 100444 37 motif application periodically hang run openwindows ser ...
LDA,1,348,"people, armenian, armenians, turkish, government, fbi, 000, said, gun, killed",107,criminal grandparents ruthlessly exterminated 600 000 kurds 1914 1916 eastern anatolia referring notes personal diary russian general odishe liyetze turkish nights 11 12 march 1918 ...
LDA,16,340,"drive, scsi, mac, drives, hard, disk, apple, bus, controller, speed",2865,doubt able hard drive xt drives usually came mfm rll flavors bet 386sx ide drives compatible controller able drive controller 386sx able plug 360k drive existing 386sx controller t ...
LDA,6,336,"game, team, year, games, hockey, play, season, players, league, player",152,ok seen tabaracci play starts relief effort beaupre looked mighty sharp forget shutout think let goals periods play hrivnak actually credit david poile change trade hopefully tabar ...
LDA,15,235,"mail, send, list, sale, fax, computer, offer, message, cd, address",1458,announced technical conference january make imake tex imake support tex typesetting publically available currently imake tex beta test computer science department dortmund universi ...
LDA,4,197,"power, radio, high, current, low, equipment, ground, radar, battery, want",806,wrong wrong completely wrong little misleading white noise random noise energy density constant constant bandwidth hz wide band 20 hz precisely energy hz band 20 khz pink noise ran ...
LDA,12,197,"key, space, encryption, data, chip, clipper, information, des, public, security",1016,punchline good idea leave tommy mac tom mcwilliams 517 355 2178 wk radius vision increases 18084tm ibm cl msu 336 9591 hm circumference mystery grows
LDA,3,124,"space, research, health, information, university, earth, 1993, national, new, conference",4208,amoody monthly amoody magazine change recent years post address amoody monthly avid
LDA,17,85,"ftp, available, key, sun, x11, pub, mit, usr, server, version",3120,export lcs mit contrib r5 sunos5 patch tar xsun multi screen tar
LDA,8,57,"israel, jews, israeli, arab, jewish, arabs, palestinian, islamic, palestine, people",737,turn driving jews sea sick tired wouldriving jews sea sentance attributed islamic movements plo simply proven plan pro israeli activists repeat parrots checking authenticity coined ...
LDA,18,56,"power, ar, wm, 250, gov, et, play, gant, mo, nist",5843,bryan murray little gm yzerman fedorov cheveldae chaisson russian strategy product previous gm murray couple decent trades hardly rank best gm primeau murray decision gm
LDA,0,49,"10, 00, 14, 20, 15, 11, 12, 16, 50, 13",4663,following comics auction highest bid takes near mint mint condition title minimum current alpha flight 51 jim lee work marvel 00 aliens 1st app aliens comics 1st prnt 1988 20 00 kr ...
LDA,7,41,"04, 02, 03, san, april, __, won, 05, lost, 01",1055,mlb standings scores friday april 16th 1993 including yesterday games national west won lost pct gb 10 streak home road san francisco giants 06 04 600 won 03 01 03 03 houston astro ...
LDA,9,26,"file, output, entry, program, rules, section, info, entries, stream, return",448,received number requests reposting international obfuscated code contest rules guidelines people requested rules posted wider set groups sorry cross posting technical clarification ...
