model,topic_id,n_docs,top_terms,example_doc_idx,example_snippet
LSA,1,4425,"does, know, people, think, did, god, good, time, new, make",1914,news feed broken received new news 243 hours 10 days send private address esther demand ed ray set line address know work depends software generally expect cause cc sent addition p ...
LSA,0,191,"nan, 32, os, bit, mac, scsi, ibm, 32 bit, pc, 92",11,nan
LSA,10,174,"card, armenian, armenians, video, monitor, people, turkish, israel, jews, bus",4731,ics integrated computer solutions incorporated 201 broadway cambridge ma 02139 vox 617 621 0060 fax 617 621 9555 info ics circle reader service card
LSA,4,156,"drive, god, scsi, game, hard, ide, disk, drives, card, controller",1336,hi quantum prodrive lps 40 mb scsi hard drive sale came maciisi replaced larger hard drive great working condition fast quiet problem asking 100 cod shipping reasonable offer sale  ...
LSA,13,141,"mail, address, list, did, windows, looking, send, advance, car, interested",1890,looking copy bela lugosi film copy stinker mail knows better place post tell
LSA,3,110,"god, windows, jesus, does, bible, dos, file, believe, christian, christians",4272,bible incredible proof christianity muslims hindus convinced qur incredible proof islam hindus christians convinced god exists atheists convinced
LSA,17,97,"problem, mouse, window, power, modem, help, israel, computer, motif, mail",713,twist expiriencing kind problem se 40 frequent suggestions
LSA,9,93,"car, windows, bike, new, miles, 00, cars, engine, armenian, good",5142,avoid problems entirely installing oil drain valve place bolt cars leaks 210 000 miles combined miles cars
LSA,7,92,"windows, dos, people, file, did, mouse, drive, problem, think, files",1585,exit
LSA,16,87,"space, god, nasa, time, card, did, problem, car, bus, scsi",5903,actually saw movie months ago called easy wheels escapes moment did rent blockbuster video hoot class plan outer space
LSA,6,84,"does, know, does know, car, card, did, anybody, surrender, shameful surrender, cadre dsl",1117,tried right set did work tech support right guys does know desktop rebuild got holding holding holding holding
LSA,12,61,"windows, does, car, 00, know, does know, armenian, dos, new, key",3450,announced npr 17 93 10 00 edt turkish president ozal died heart attack ankara
LSA,2,50,"god, people, jesus, believe, did, think, say, bible, christian, christians",1347,pretending knowing obedient west evil
LSA,11,47,"drive, file, files, disk, know, people, mail, address, read, armenian",2359,disconcerting group
LSA,18,43,"know, new, monitor, god, people, armenian, armenians, apple, computer, need",4861,specs monitor changed f550i know going new t560i soon t560iw
LSA,5,39,"drive, scsi, government, key, chip, disk, people, hard, ide, drives",4696,thank people responded post clear things tape drive external connector male db 37 pin variety result easily cost effective solution drive advice greatly appreciated prefer
LSA,19,39,"car, space, power, game, batf, does, software, gun, god, fbi",4306,auto
LSA,14,33,"windows, space, people, dos, think, nasa, mouse, does, world, time",2985,note tables talk population fortune 1000 companies favoring platform primary application platform sales fortune 1000 fortune 1000 companies lot development mac platform expect expl ...
LSA,8,29,"shameful surrender, dsl, cadre, surrender soon, geb cadre, geb, dsl pitt, intellect geb, cadre dsl, pitt shameful",2451,idea apostacy did originate lucy smith joseph smith mormons idea restoration quite common early 19th century usa alexander campbell founder group survives disciples christ preached ...
LSA,15,9,"car, card, armenian, armenians, israel, problem, key, turkish, address, jews",1444,number left legs left right
