Clinton	70
Dole	36
Arafat	35
Yeltsin	32
Lebed	30
Dutroux	30
Wasim Akram	29
Waqar Younis	25
Mushtaq Ahmed	25
Mother Teresa	20
Croft	20
Aamir Sohail	19
Bill Clinton	19
Mullally	18
Netanyahu	16
Saeed Anwar	16
Rubin	16
Diana	15
Meri	15
Ijaz Ahmed	14
Gore	14
Medvedev	14
Salim Malik	13
Boris Yeltsin	13
Cork	13
Yasser Arafat	12
Inzamam-ul-Haq	12
Graf	12
Lauck	12
Moin Khan	12
Christie	12
Weizman	12
Stich	12
Mickelson	11
Alexander Lebed	11
Banharn	11
Arantxa Sanchez Vicario	10
Asif Mujtaba	10
Todd Martin	10
Chang	10
Tsang	10
Benjamin Netanyahu	9
Peres	9
G. Thorpe	9
Wayne Ferreira	9
Mark Philippoussis	9
Todd Woodbridge	9
Johnson	9
Sampras	9
Machado	9
Lewis	9
Morris	9
Levy	8
J. Crawley	8
Marcelo Rios	8
Philippoussis	8
Monica Seles	8
Martinez	8
Brunswijk	8
Fox	8
Bob Dole	8
Corser	8
Brady	8
Oncins	8
Gajdos	8
Costas Simitis	7
Saddam Hussein	7
Mohammad Akram	7
Thomas Muster	7
MaliVai Washington	7
Patrick Rafter	7
Alex O'Brien	7
Pete Sampras	7
Muster	7
Kevorkian	7
Williams	7
M. Waugh	7
Kocinski	7
Takeda	7
Lance Armstrong	7
Kabariti	7
O'Neal	7
Hasina	7
Gilbertson	7
Hashimoto	7
Tapie	7
Iliescu	7
Ruutel	7
Perot	7
Shimon Peres	6
Billy Mayfair	6
Costantino Rocca	6
Kimiko Date	6
Michael Chang	6
Sergi Bruguera	6
Martin Damm	6
M. Atherton	6
Mohammad Akam	6
Mikael Tillstrom	6
Cedric Pioline	6
Jason Stoltenberg	6
Newcombe	6
Andrei Medvedev	6
Thomas Enqvist	6
Raymond Russell	6
Paul Lawrie	6
Pedro Linhart	6
Anke Huber	6
Conchita Martinez	6
Lindsay Davenport	6
Huber	6
Aslan Maskhadov	6
Volkova	6
Michael Schumacher	6
Linford Christie	6
Stenning	6
Tommi Makinen	6
Smicer	6
Bourlet	6
Haga	6
Slight	6
Popov	6
Cozma	6
Lanusse	6
Chris Boardman	6
Andrea Collinelli	6
Dimitris Kontogiannis	5
God	5
Greg Norman	5
Karol Kucera	5
A. Giles	5
C. White	5
M. Moxon	5
A. Stewart	5
Petr Korda	5
Daniel Vacek	5
Bohdan Ulihrach	5
Tim Henman	5
Stefan Edberg	5
Michael Stich	5
Paul Broadhurst	5
Miguel Angel Martin	5
Paul Eales	5
Agassi	5
Amanda Coetzer	5
Jana Novotna	5
Ischinger	5
Gujral	5
Gerhard Berger	5
Jacques Villeneuve	5
Mika Hakkinen	5
Jean Alesi	5
Damon Hill	5
Karina Habsudova	5
N. Fairbrother	5
Wasim	5
Salisbury	5
Ian Woosnam	5
