model,topic_id,n_docs,top_terms,example_snippet
BERTopic,0,5143,"the, to, of, and, is, in, that, ax, it, for",i ve posted a couple of notes about encountering this problem based on some suggestions from mark aitchison university of canterbury new zealand and chris a larrieu cs wm edu i thi ...
BERTopic,1,492,"the, to, in, and, of, he, game, was, for, that",i totally agree with each point you made jose viscaino looked like a single a hitter up there who swings on 3 1 count with maddux pitching and your teams down by a run and you have ...
BERTopic,2,122,"nan, , , , , , , , , ",
BERTopic,3,72,"or, test, fuhr, the, chuvashia, nile, inguiry, eridan, er1, it",i agree with you
BERTopic,4,52,"melittin, _too_, cheek, thats, chris, 15, file, such, many, as",
BERTopic,5,36,"not, okay, deleted, tempest, you, this, name, is, couldn, think",i think you are confusing tautological with false and misleading
BERTopic,6,19,"thanks, you, some, see, interested, stuff, me, veru, neale, flank",i can see it now emblazened across the evening sky
BERTopic,7,12,"is, body, whoever, essential, sense, in, security, it, to, humbles",the blackhawks shall triumph
LDA,16,1939,"that, you, it, t, be, have, not, are, s, for",this isn t inherently bad this isn t really light pollution since it will only be visible shortly before or after dusk or during the day of course if night only lasts 2 hours for y ...
LDA,13,1046,"it, for, on, my, have, me, this, if, that, you",i bought a car with a defunct engine to use for parts for my old but still running version of the same car the car i bought has good tires is there anything in particular that i sh ...
LDA,18,634,"that, not, it, you, as, this, are, god, for, he",the existence of repeated earth lives and destiny karma does not mean that everything that happens is predetermined by past deeds there is an oriental view of it that tends in that ...
LDA,3,458,"you, for, it, can, this, on, or, with, that, windows",i don t know the answer to your direct question but if the mac superdrive can read ms dos disks can it then you can transfer files between the next and a mac by using ms dos format ...
LDA,4,375,"was, that, were, they, by, on, for, with, their, had",since your criminal grandparents ruthlessly exterminated more than 600 000 kurds between 1914 and 1916 in eastern anatolia referring to notes from the personal diary of russian gen ...
LDA,8,366,"with, it, for, my, that, have, on, this, but, s",i have a 486dx 33 isa pc compatible insight with an infotel internal 14 4fax 14 4data modem with quicklinkii for windows when i first put the modem in i pulled a phone out of the j ...
LDA,11,255,"that, are, it, this, for, be, or, with, as, by",essential tremor is a progressive hereditary tremor that gets worse when the patient tries to use the effected member all limbs vocal cords and head can be involved inderal is a be ...
LDA,14,164,"for, 2, 1, 5, sale, all, or, new, with, 10",th following cd s are for sale each cd cost 10 except otherwise indicated which includes shipping and handling achtung baby u2 joshua tree u2 the immaculate collection madonna 12 l ...
LDA,17,151,"he, game, was, on, s, at, his, for, but, t",it is a long standing good luck redwing s tradition to throw an octopus on the ice during a stanley cup game they say it dates back to 52 at the olympia when the wings became the 1 ...
LDA,12,145,"key, encryption, will, chip, clipper, be, security, keys, government, public",the message from the nist about the clipper chip comes from the following address clipper csrc ncsl nist gov clipper chip announcement just who is that i asked myself or rather i a ...
LSA,1,4375,"don, like, just, know, people, think, does, use, good, god",my news feed is broken and i haven t received any new news in 243 hours more than 10 days so if you reply to this please send private email to the address esther demand ed ray com  ...
LSA,0,189,"nan, 32, os, bit, mac, scsi, ibm, 32 bit, pc, 92",
LSA,3,152,"god, thanks, jesus, does, windows, bible, christian, believe, christians, christ",since when does atheism mean trashing other religions there must be a god of inbreeding to which you are his only son
LSA,10,142,"people, armenian, armenians, card, israel, windows, turkish, jews, thanks, israeli",polish and jewish are not mutually exclusive
LSA,4,134,"drive, god, scsi, game, card, hard, ide, drives, disk, controller",i am selling an at t xt compatible it comes with a green screen cga monitor 360k 5 25 floppy drive and a 20 megabyte hard drive you would think it was brand new from the condition  ...
LSA,11,118,"card, monitor, video, car, driver, does, 00, bus, video card, drivers",sure edmund scientific company 101 e glouchester pike barrington nj 08007 1380 609 573 6250 the card is on page 15 of the last catalog i got the cost ranges from 19 00us to 80 00us ...
LSA,15,111,"space, com, list, batf, nasa, did, fbi, windows, koresh, does",bye nothing is as inevitable as a mistake whose time has garrett johnson come tussman garrett ingres com the probability of someone watching you is proportional to the stupidity of ...
LSA,18,102,"ve, just, new, armenian, heard, got, armenians, ve heard, seen, chip",apologies i ve not been paying attention
LSA,7,89,"windows, don, dos, think, file, just, mouse, problem, files, window",exit
LSA,13,82,"does, know, does know, car, file, program, drive, files, ve, power",does anyone know the particulars on the senate file 303 does this bill allow or deny off duty police from carrying concealed
