text,target
"I've posted a couple of notes about encountering this problem. Based on some 
suggestions from:

Mark Aitchison, University of Canterbury, New Zealand.
	and
Chris A. Larrieu @cs.wm.edu

I think that my problem is a screen saver that also outputs sound (to my 
PC speaker). I'm still looking at some of the other screen savers that I 
use (with a randomizer), but this one definately caused the loss of several 
minutes over night (but not the date this time). ",3
"

Is HST really _that_ much heavier than a Spacelab ???

bd",14
"
	I totally agree with each point you made.  Jose Viscaino looked
like a single A hitter up there.  Who swings on 3-1 count with Maddux 
pitching and your teams down by a run, and you haven't touched the ball all 
day.  I also think too much is made of that lefty-righty thing.  Watching
the Cubs games I get the feeling Steve Stone knows a lot more about what
the Cubs should be doing than Lefebre does.  Harry said it best when he
stated after another terrible Vizcaino at bat-- we can't wait til
Sandberg returns!
",9
"
There's an article in Motorcycling a couple of months back specifically on  
women's attire for serious and not-so-serious riding.  They do mention who  
makes stuff specific for women's dimensions, and what also works OK enough as  
well.  Bates will make custom jackets and leathers for a reasonable charge.
-- ",8
"
   Is it possible through either pin configuration or through software
   programming to change the IP numbers on an ethernet card?

The Ethernet card doesn't use the IP number (32-bits, usually
#.#.#.#); it uses the Ethernet address (48-bits, usually
#:#:#:#:#:#). I have never run across an Ethernet controller that
cannot be programmed to use an address that is not assigned to it.
DECNET requires this feature.

However, that said, there is no reason to ever change the Ethernet
address.  They are globally unique, the first three bytes being
assigned to the manufacturer by the IEEE, and the last three by the
manufacturer.",3
"Hello...

I wonder if some one can suggest an answer to the following question:
I am a total X novice and would appreciate any suggestions you may have.

I am trying to create a simple drawing tool....

       __________
       |        |
       |     ___|___
       |_____|__|  |
             |	   |
	     |_____|

Let's say I have two rectangles on the canvas(see above) 
one intersecting the other...
Now, I would like to delete one of the rectangles.
The way I do it is to create another GC wherein I use the
GXxor logical function and simply redraw the rectangle using the newly
created graphics context thus deleting it for all apparent purposes.
A problem with this approach is that at the points of intersection the pixel 
locations belonging to the other rectangle also become white, which is 
something that should be avoided.

Is there any way I can avoid this problem without having to redraw the other
rectangle too?
I also would not like to generate an expose event for the affected area
as this degrades performance very badly...
",5
"
W --> 
W --> SEE! The Providence Bruins lost the first two games at home and came back to
W -->      tie the series on the road, there may be hope for the Bruins yet!

Toast. They're toast. (And I know how much you want me to eat these 
words, but it ain't gonna happen.) Are the golf courses in the Boston 
area in playable condition yet?

- Jack

 * Acid consumes 47 times its weight in life!",10
"
If what was being discussed could be established or disproven by 
experiment and observation, then I would agree with you, Chris.  
The burden of proof would belong to Bill. But the source
document for Christianity, the Bible, simply assumes God exists
and makes it clear (to us Calvinists, anyway :-)) that when a person
is in fellowship with God, it is because God has taken the initiative
in revealing Himself to that person. So from a Christian point of
view, the burden of proof belongs to God. Bill is being consistent
with what the Bible teaches in relating his own experience with God,
but it would be an error on his part to assume that there is a direct,
causal relationship between his testimony and someone else becoming
convinced that God exists and that he needs to be reconciled to God.


Please excuse me if I missed an earlier part of this thread
in which Bill came across like an egotist. What I saw was simply
obedience to the scriptural command to ""always be ready
to give a reason for the joy that is in you"".  ",19
"-> Actually, the words ""A well regulated Milita, being necessary to the
-> security of a free state"" is a present participle, used as an
-> adjective to modify 'militia', which is followed by the main clause of
-> the sentence, the subject being 'the right', the verb 'shall'.  It
-> asserts that the right to keep and bear arms is essential for
-> maintaining a milita. 
-> a free state.

Yes, I agree the first half of the amendment does modify the noun 
militia.  But the difinition of modify that applies to how ""well regulated"" 
modifies ""militia"" is:
	to qualify or limit the meaning of.  For example, ""wet""
	modifes ""day"" in the phrase ""a wet day.""

The amendment is similiar to the statement:
	A wet day, being annoying, the right of the people to keep
	and wear boots, shall not be infringed.
So how does a dry day pertain the right to use boots?  Similiar,
what does the ""unorganized militia"" have to due with the right to
own guns?

-> The sentence [in the Second Amendment] doesn't restrict the right, or
-> state or imply possession of the right by anyone or anything other
-> than the people.  All it does is make a positive statement regarding a
-> right of the people. The PEOPLE, as in you and me, as in the First,
-> Fourth, Ninth, Tenth, as well as the Second amendment.
-> The existence of this right is assumed - it is not granted by the
-> amendment. There is no stated or implied condition relating the right
-> to bear arms to the necessity of a well-regulated militia to the security of
-> In other words, the entire sentence says that the right to keep and
-> bear arms is UNCONDITIONAL.

No not, unconditional, but ""shall not be infringed"".  Infringed
is defined as:
	To break or ignore the terms of or obligations (an oath, 
	an agreement, law, or the like); to disreguard; violate.
	To go beyond the boundaries or limits; tresspass; encroach.
This definition implies the following of some form of existing 
agreement.  Laws and agreements are made in advance.  Boundaries 
or limits of behavior are set by society as a whole.  The word 
""unconditional"" implies no agreements or all previous agreements 
are off, which is the opposite.

The words used in the first amendment are much stronger, i.e.,
""congress shall make no law,"" are much stronger.  They clearly 
	         ^^^^^^^^^^^
imply ""unconditional.""  If the writers of the amendment, wanted 
unconditional whay didn't they says, ""congress shall make no 
laws pertaining the the right of the people to keep and bear arms""?
The second amendment implies a sort contract between the people
the people and the state.  The bigger part of the contract is
the people have the right to overthrew the government and its laws
at any time.  To guarantee this right, the laws cannot stopped
the people from forming a ""well regutaled militia.""  The duties
of a ""well regulated militia"" to the government are descussed in 
Federalist No. 29.  And the limits of of the governmental control
of the militia are descussed in Article I Section 8, Article II 
Section 2, and the Second Amendment of the constitution.
",16
"

I followed up without a thought of double-checking...if I double-checked
every fact people vomited onto the table here on the net, I'd never have
time to sleep.  But to pass the buck to the person who originally posted
that quote...

...well, Michael?  Take it away!  (wild applause)

Drewcifer",18
